epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.5298,1.1065,2.64036,1.42644,0.6093,0.88723,0.88767,0.61465,1.40675,1.33606,1.26037,0,0,0
2,55.824,1.02626,2.96802,1.35856,0.59517,0.89322,0.88785,0.62346,1.40702,1.35156,1.25601,1.17822e-06,1.17822e-06,1.17822e-06
3,62.6459,0.73193,3.0603,1.24279,0.59955,0.88003,0.88451,0.62255,1.43764,1.37476,1.27063,2.33288e-06,2.33288e-06,2.33288e-06
4,65.6775,1.41562,2.71859,1.9485,0.55639,0.83333,0.8708,0.60827,1.45032,1.40096,1.27746,3.46397e-06,3.46397e-06,3.46397e-06
5,68.24,1.22104,3.49145,1.68788,0.57761,0.83333,0.87084,0.60952,1.46852,1.43111,1.28097,4.5715e-06,4.5715e-06,4.5715e-06
6,71.9542,1.08919,2.53541,1.3866,0.6057,0.6899,0.88473,0.59332,1.49155,1.48375,1.29478,5.65548e-06,5.65548e-06,5.65548e-06
7,74.7109,1.0899,2.61814,1.38706,0.8372,0.56667,0.87203,0.57771,1.50806,1.527,1.30873,6.71588e-06,6.71588e-06,6.71588e-06
8,76.9623,0.92687,2.30205,1.27117,0.82249,0.5695,0.88595,0.57325,1.52281,1.57814,1.32857,7.75273e-06,7.75273e-06,7.75273e-06
9,79.1564,1.10375,3.49977,1.39463,0.81754,0.58007,0.88631,0.55891,1.54375,1.63243,1.33322,8.76602e-06,8.76602e-06,8.76602e-06
10,81.8465,0.98326,2.57969,1.21824,0.80561,0.58333,0.80321,0.55456,1.55161,1.68794,1.34683,9.75574e-06,9.75574e-06,9.75574e-06
11,84.1958,1.26291,2.81591,1.49992,0.78845,0.58333,0.76898,0.54211,1.56162,1.71793,1.35785,1.07219e-05,1.07219e-05,1.07219e-05
12,86.2659,0.8852,2.18724,1.31241,0.77379,0.58333,0.76381,0.54337,1.56227,1.7637,1.36355,1.16645e-05,1.16645e-05,1.16645e-05
13,88.2593,1.05815,2.41853,1.48811,0.75705,0.58333,0.74395,0.54208,1.54954,1.80156,1.36687,1.25835e-05,1.25835e-05,1.25835e-05
14,90.1634,1.00118,2.47309,1.34653,0.74763,0.58333,0.74738,0.54352,1.53693,1.7987,1.36052,1.3479e-05,1.3479e-05,1.3479e-05
15,92.3317,1.07825,1.79739,1.4697,0.76618,0.58333,0.74394,0.54202,1.52111,1.8271,1.35498,1.43509e-05,1.43509e-05,1.43509e-05
